Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.1339,184738178.91852,184738178.91852,184989792.115279
0.134,184519872.366039,184519872.366039,184771188.229514
0.1341,184491903.19712,184491903.19712,184743180.966617
0.1342,184464106.057882,184464106.057882,184715345.967705
0.1343,184063940.873462,184063940.873462,184314635.758744
0.1344,183846893.648383,183846893.648383,184097292.915583
0.1345,183819360.898206,183819360.898206,184069722.66583
0.1346,183784714.383293,183784714.383293,184035028.962402
0.1347,183372100.610267,183372100.610267,183621853.20987
0.1348,183330384.84442,183330384.84442,183580080.627196
0.1349,183100236.858435,183100236.858435,183349619.179907
0.135,183058784.27428,183058784.27428,183308110.137378
0.1351,183017489.985561,183017489.985561,183266759.605883
0.1352,182607230.969528,182607230.969528,182855941.817521
0.1353,182378483.581555,182378483.581555,182626882.875857
0.1354,182337500.938554,182337500.938554,182585844.414541
0.1355,182289460.901866,182289460.901866,182537738.947376
0.1356,181888699.57683,181888699.57683,182136431.785856
0.1357,181840890.409613,181840890.409613,182088557.502605
0.1358,181620822.257866,181620822.257866,181868189.618277
0.1359,181573280.563535,181573280.563535,181820583.172211
0.136,181174748.828515,181174748.828515,181421508.637405
0.1361,181127435.092138,181127435.092138,181374130.459771
0.1362,180908706.612908,180908706.612908,181155104.072593
0.1363,180868801.090833,180868801.090833,181115144.199241
0.1364,180821903.684884,180821903.684884,181068182.919076
0.1365,180425632.414183,180425632.414183,180671371.92734
0.1366,180201112.875989,180201112.875989,180446546.593781
0.1367,180161659.287023,180161659.287023,180407039.26907
0.1368,180136581.30192,180136581.30192,180381927.127779
0.1369,179756598.473644,179756598.473644,180001426.763309
0.137,179731684.876509,179731684.876509,179976479.233882
0.1371,179529763.548269,179529763.548269,179774282.889015
0.1372,179512176.777433,179512176.777433,179756672.165016
0.1373,179487671.54324,179487671.54324,179732133.554721
0.1374,179109524.223226,179109524.223226,179353471.198473
0.1375,178915772.413089,178915772.413089,179159455.498583
0.1376,178891511.764971,178891511.764971,179135161.807489
0.1377,178867411.473433,178867411.473433,179111028.69138
0.1378,178498118.501209,178498118.501209,178741232.742534
0.1379,178474180.219692,178474180.219692,178717261.857104
0.138,178274553.566696,178274553.566696,178517363.312825
