Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1
201,1250,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
202,1250,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
203,1250,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
204,1250,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
205,1250,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
206,1250,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
207,1250,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
208,1500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
209,1500,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
210,1500,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
211,1500,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
212,1500,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
213,1500,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
214,1500,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
215,1500,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
216,1500,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
217,1500,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
218,1500,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
219,1500,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
220,1500,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
221,1500,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
222,1500,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
223,1500,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
224,1500,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
225,1500,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
226,1500,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
227,1500,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
228,1500,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
229,1500,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
230,1500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
231,1500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
232,1500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
233,1500,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
234,1500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
235,1500,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
236,1500,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
237,1500,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
